Manufacturer,Model,UnitSales,Price,Horsepower,mpg,PPFrating,FuelCapacity,CurbWeight,GroupPPF
Chevrolet,Metro,21.86,9.235,55,45,23.27627233,10.3,1.895,SundayDrivers
Hyundai,Accent,41.18,9.699,92,31,36.67228358,11.9,2.24,SundayDrivers
Saturn,SL,80.62,10.685,100,33,39.98642475,12.1,2.332,SundayDrivers
Saturn,SC,24.55,12.535,100,33,40.70007242,12.1,2.367,SundayDrivers
Honda,Civic,199.69,12.885,106,32,42.87909734,11.9,2.339,SundayDrivers
Ford,Focus,175.67,12.315,107,30,43.11713201,13.2,2.564,SundayDrivers
Ford,Escort,70.23,12.07,110,30,44.08370946,12.7,2.468,SundayDrivers
Mitsubishi,Mirage,26.23,13.987,113,30,45.83218056,13.2,2.25,SundayDrivers
Chevrolet,Cavalier,145.52,13.26,115,27,46.36334747,14.3,2.676,SundayDrivers
Volkswagen,Golf,9.76,14.9,115,26,46.94387676,14.5,2.767,SundayDrivers
Volkswagen,Beetle,49.46,15.9,115,26,47.32963226,14.5,2.769,SundayDrivers
Ford,Ranger,220.65,12.05,119,23,47.38953131,20,3.086,SundayDrivers
Volkswagen,Jetta,83.72,16.7,115,26,47.63823666,14.5,2.853,SundayDrivers
Volkswagen,GTI,5.6,17.5,115,26,47.94684106,14.6,2.762,SundayDrivers
Toyota,Corolla,142.54,13.108,120,33,47.96897242,13.2,2.42,SundayDrivers
Chevrolet,Prizm,32.3,13.96,120,33,48.2976361,13.2,2.398,SundayDrivers
Jeep,Wrangler,55.56,14.46,120,17,48.67289791,19,3.045,SundayDrivers
Volkswagen,Cabrio,9.57,19.99,115,26,48.90737225,13.7,3.079,SundayDrivers
Dodge,Dakota,111.31,16.98,120,19,49.64500177,22,3.557,SundayDrivers
Saturn,SW,5.22,14.29,124,31,49.86577367,12.1,2.452,SundayDrivers
Nissan,Sentra,42.64,13.499,126,30,50.24197791,13.2,2.593,SundayDrivers
Mercury,Mystique,14.35,16.24,125,28,50.99774761,15,2.769,SundayDrivers
Mercury,Cougar,26.53,16.54,125,30,51.11347426,16,2.892,SundayDrivers
Toyota,RAV4,25.11,16.888,127,27,51.95510887,15.3,2.668,SundayDrivers
Dodge,Neon,76.03,12.64,132,29,52.08489875,12.5,2.567,SundayDrivers
Plymouth,Neon,32.73,12.64,132,29,52.08489875,12.5,2.559,SundayDrivers
Plymouth,Breeze,5.24,16.08,132,27,53.41189767,16,2.942,SundayDrivers
Chrysler,Cirrus,32.31,16.48,132,27,53.56619987,16,2.911,SundayDrivers
Honda,Accord,230.9,15.35,135,27,54.26954829,17.1,2.932,SundayDrivers
Toyota,Camry,247.99,17.518,133,27,54.37241965,18.5,2.998,SundayDrivers
Hyundai,Elantra,66.69,11.799,140,27,54.59004516,14.5,2.626,SundayDrivers
Saturn,LS,49.99,15.01,137,28,54.81972825,13.1,2.91,SundayDrivers
Toyota,Tacoma,84.09,11.528,142,23,55.29711658,15.1,2.58,SundayDrivers
Saturn,LW,8.47,18.835,137,27,56.29524304,13.1,3.075,SundayDrivers
Toyota,Celica,33.27,16.875,140,31,56.49603034,14.5,2.425,SundayDrivers
Acura,Integra,16.92,21.5,140,28,58.28014952,13.2,2.639,SundayDrivers
Mitsubishi,Galant,55.62,17.357,145,25,58.60677292,16.3,2.945,SundayDrivers
Hyundai,Sonata,29.45,14.999,148,25,58.758249,17.2,3.072,SundayDrivers
Honda,CR-V,73.2,20.55,146,24,60.08796662,15.3,3.219,SundayDrivers
Oldsmobile,Alero,80.26,18.27,150,27,60.72744693,15,2.958,Need4Speed
Oldsmobile,Cutlass,1.11,18.145,150,25,60.86161155,15.2,3.102,Need4Speed
Plymouth,Voyager,24.16,18.85,150,24,60.95118512,20,3.528,Need4Speed
Dodge,Caravan,181.75,19.565,150,24,61.22700031,20,3.533,Need4Speed
Volkswagen,Passat,51.1,21.2,150,27,61.70138136,16.4,3.043,Need4Speed
Pontiac,Sunfire,51.65,21.61,150,27,62.0158703,15,2.906,Need4Speed
Ford,Windstar,155.79,21.41,150,21,62.09504839,26,3.761,Need4Speed
Mercury,Sable,67.96,19.035,153,24,62.23996663,16,3.379,Need4Speed
Toyota,4Runner,68.41,22.288,150,23,62.35557713,18.5,3.44,Need4Speed
Mitsubishi,Eclipse,42.54,19.047,154,24,62.44196235,15.9,2.91,Need4Speed
Ford,Taurus,245.82,17.885,155,24,62.5037395,16,3.368,Need4Speed
Audi,A4,20.4,23.99,150,27,62.7776392,16.4,2.998,Need4Speed
Nissan,Altima,88.09,20.39,155,25,63.31372783,15.9,3.012,Need4Speed
Dodge,Avenger,4.73,19.045,163,24,65.65050834,15.9,2.879,Need4Speed
Chrysler,Sebring Coupe,7.85,19.84,163,24,65.95718396,15.9,2.967,Need4Speed
Volvo,S40,16.96,23.4,160,25,66.1130568,15.8,2.998,Need4Speed
Volvo,V40,3.55,24.4,160,25,66.4988123,15.8,3.042,Need4Speed
Subaru,Forester,33.03,20.095,165,24,66.76294331,15.9,3.125,Need4Speed
Chevrolet,Malibu,135.13,16.535,170,25,67.31446216,15,3.051,Need4Speed
Ford,Contour,35.07,17.035,170,25,67.35101072,15,2.769,Need4Speed
Mitsubishi,3000GT,0.11,25.45,161,21,67.54415494,19.8,3.131,Need4Speed
Subaru,Outback,47.11,22.695,165,25,67.7659076,16.9,3.415,Need4Speed
Dodge,Stratus,71.19,20.23,168,24,67.87610784,16,3.058,Need4Speed
Nissan,Frontier,65.01,17.89,170,18,67.88927059,19.4,3.217,Need4Speed
Chrysler,Sebring Convertible,32.78,24.495,168,24,69.52135505,16,3.332,Need4Speed
Mercury,Villager,20.38,22.51,170,21,69.671461,20,3.944,Need4Speed
Nissan,Xterra,54.16,22.799,170,18,69.78294434,19.4,3.821,Need4Speed
Chevrolet,Lumina,24.63,18.89,175,25,69.9913956,16.6,3.33,Need4Speed
Dodge,Ram Van,31.04,18.575,175,16,70.07832154,32,4.298,Need4Speed
Pontiac,Grand Am,131.1,19.72,175,25,70.38973726,15.2,3.091,Need4Speed
Volvo,S70,15.25,27.5,168,25,70.65449545,17.9,3.208,Need4Speed
Mitsubishi,Montero Sport,39.35,22.527,173,20,70.66094179,19.5,3.51,Need4Speed
Dodge,Ram Wagon,16.77,21.315,175,15,71.13529161,32,4.245,Need4Speed
Volvo,V70,17.53,28.8,168,25,71.1559776,17.9,3.259,Need4Speed
Nissan,Quest,27.31,26.399,170,21,71.17166413,20,3.991,Need4Speed
Buick,Century,91.56,21.975,175,25,71.18145132,17.5,3.368,Need4Speed
BMW,323i,19.75,26.99,170,26,71.19120671,16.6,3.179,Need4Speed
Chevrolet,Impala,108,18.89,180,27,71.83803944,17,3.389,Need4Speed
Chevrolet,Monte Carlo,42.59,19.39,180,27,72.03091719,17,3.34,CarswKick
Nissan,Pathfinder,42.57,29.299,170,19,72.29035508,21,3.947,CarswKick
Saab,44079,9.19,33.12,170,23,73.50377819,18.5,3.28,CarswKick
Saab,44077,12.12,26.1,185,23,76.02304771,16.9,2.99,CarswKick
Oldsmobile,Silhouette,24.36,25.345,185,22,76.09657042,25,3.948,CarswKick
Pontiac,Montana,39.57,25.635,185,23,76.20843952,25,3.942,CarswKick
Ford,Mustang,113.37,21.56,190,24,76.50918456,15.7,3.203,CarswKick
Jeep,Cherokee,80.56,21.62,190,20,76.58443962,20,3.194,CarswKick
Toyota,Sienna,65.12,22.368,194,22,78.02721947,20.9,3.759,CarswKick
Mercedes-B,C-Class,18.39,31.75,185,26,78.28073088,16.4,3.25,CarswKick
Pontiac,Grand Prix,92.36,21.665,195,25,78.31816813,18,3.396,CarswKick
Chrysler,Concorde,31.15,22.245,200,26,80.02378204,17,3.452,CarswKick
Jeep,Grand Cherokee,157.04,26.895,195,19,80.38777912,20.5,3.88,CarswKick
Ford,Crown Victoria,63.4,22.195,200,21,80.49953671,19,3.908,CarswKick
Oldsmobile,Bravada,20.02,31.598,190,19,80.51167259,17.5,4.068,CarswKick
Mercury,Grand Marquis,81.17,22.605,200,21,80.65769646,19,3.958,CarswKick
Chevrolet,Camaro,26.4,24.34,200,25,81.11854333,16.8,3.5,CarswKick
Pontiac,Firebird,19.91,25.31,200,25,81.49272616,16.8,3.492,CarswKick
Mercedes-B,SLK230,1.53,41,185,27,81.84896924,14,2.975,CarswKick
BMW,328i,9.23,33.4,193,24,81.87706856,16.6,3.197,CarswKick
Pontiac,Bonneville,35.95,23.755,205,24,82.6613556,17.5,3.59,CarswKick
Mercedes-B,SLK,8,38.9,190,26,82.80736193,15.9,3.055,CarswKick
Cadillac,Catera,11.19,31.01,200,22,83.48309358,18,3.77,CarswKick
Honda,Passport,12.86,26.6,205,19,83.6025008,21.1,3.857,CarswKick
Mitsubishi,Montero,11.34,31.807,200,18,83.92081504,24.3,4.52,CarswKick
BMW,528i,17.53,38.9,193,25,83.9987238,18.5,3.472,CarswKick
Buick,LeSabre,83.26,27.885,205,25,84.25452581,17.5,3.591,CarswKick
Audi,A6,18.78,33.95,200,22,84.56510502,18.5,3.561,CarswKick
Mitsubishi,Diamante,5.71,24.997,210,22,84.83077858,19,3.443,CarswKick
Toyota,Avalon,63.85,25.545,210,26,84.91189826,18.5,3.417,CarswKick
Honda,Odyssey,76.03,26,210,23,85.21769134,20,4.288,CarswKick
Volvo,S80,18.97,36,201,24,85.73565451,21.1,3.6,CarswKick
Buick,Park Avenue,27.85,31.965,205,24,85.82840825,18.5,3.778,CarswKick
Mercury,Mountaineer,27.61,27.56,210,18,85.94974425,21,3.876,CarswKick
Lexus,ES300,24.07,31.505,210,23,87.21100104,18.5,3.373,CarswKick
Ford,Explorer,276.75,31.93,210,19,87.63549578,21,3.876,CarswKick
Ford,F-Series,540.56,26.935,220,18,89.40193473,25.1,4.241,CarswKick
Nissan,Maxima,79.85,26.249,222,25,89.42782031,18.5,3.294,CarswKick
Dodge,Ram Pickup,227.06,19.46,230,17,90.21170005,26,4.47,MaxPower
Mercedes-B,M-Class,28.98,35.3,215,20,90.49553213,19,4.387,MaxPower
Acura,TL,39.38,28.4,225,25,91.37077766,17.2,3.517,MaxPower
Acura,RL,8.59,42,210,22,91.38977933,18,3.85,MaxPower
Lexus,RX300,51.24,34.605,220,21,91.94380156,17.2,3.9,MaxPower
Infiniti,I30,23.71,29.465,227,25,92.43688923,18.5,3.342,MaxPower
Dodge,Durango,101.32,26.31,230,17,92.85412522,25,4.394,MaxPower
Mercedes-B,CLK Coupe,11.59,41.6,215,26,92.92579177,16.4,3.213,MaxPower
Porsche,Boxter,8.98,41.43,217,22,93.4373307,17,2.778,MaxPower
Lincoln,Town car,48.91,43.33,215,21,93.9579169,19,4.121,MaxPower
Lexus,GS300,12.7,37.805,225,23,94.9466984,19.8,3.638,MaxPower
Buick,Regal,39.35,25.3,240,23,95.63670253,17.5,3.543,MaxPower
Mercedes-B,E-Class,27.6,49.9,221,25,98.2497375,21.1,3.823,MaxPower
Ford,Expedition,125.34,36.135,240,16,100.0248023,26,4.808,MaxPower
Chrysler,LHS,13.46,28.34,253,23,101.3292807,17,3.564,MaxPower
Volvo,C70,3.49,45.5,236,23,101.6233572,18.5,3.601,MaxPower
Chrysler,300M,30.7,29.185,253,23,101.6552441,17,3.567,MaxPower
Jaguar,S-Type,15.47,42.8,240,21,102.1789848,18.4,3.65,MaxPower
Toyota,Land Cruiser,9.84,51.728,230,15,102.5289842,25.4,5.115,MaxPower
Oldsmobile,Aurora,14.69,36.229,250,22,103.4416926,18.5,3.967,MaxPower
Lexus,LX470,9.13,60.105,230,15,105.760458,25.4,5.401,MaxPower
Plymouth,Prowler,1.87,43,253,21,106.9844563,12,2.85,MaxPower
Cadillac,Escalade,14.79,46.225,255,15,109.5091165,30,5.572,MaxPower
Lincoln,Continental,13.8,39.08,275,22,113.5402069,20,3.868,MaxPower
Cadillac,Eldorado,6.54,39.665,275,22,113.7658739,19,3.843,MaxPower
Cadillac,DeVille,63.73,39.895,275,22,113.8545976,18.5,3.978,MaxPower
Cadillac,Seville,15.94,44.475,275,22,115.6213578,18.5,3.978,MaxPower
Lincoln,Navigator,22.93,42.66,300,15,123.9720467,30,5.393,MaxPower
Lexus,LS400,6.38,54.005,290,22,124.4467163,22.5,3.89,MaxPower
Lexus,GS400,3.33,46.305,300,21,125.0133574,19.8,3.693,MaxPower
Mercedes-B,S-Class,16.77,69.7,275,21,125.2738757,23.2,4.133,MaxPower
Porsche,Carrera Coupe,1.28,71.02,300,21,134.3909754,17,3.032,MaxPower
Audi,A8,1.38,62,310,21,134.6568582,23.7,3.902,MaxPower
Porsche,Carrera Cabrio,1.87,74.97,300,23,135.9147096,17,3.075,MaxPower
Mercedes-B,SL-Class,3.31,82.6,302,20,139.9822936,21.1,4.125,MaxPower
Mercedes-B,CL500,0.95,85.5,302,20,141.1009845,23.2,4.115,MaxPower
Chevrolet,Corvette,17.95,45.705,345,22,141.14115,19.1,3.21,MaxPower
Dodge,Viper,0.92,69.725,450,16,188.144323,19,3.375,MaxPower
